chainId,dexId,baseToken,pairAddress,liquidity,ccxt_ticker
bsc,pancakeswap,WBNB,0x16b9a82891338f9bA80E2D6970FddA79D1eb0daE,"{""usd"":121690188.89270122,""base"":237541,""quote"":60845094}",BNB
arbitrum,uniswap,WETH,0xC31E54c7a869B9FcBEcc14363CF510d1c41fa443,"{""usd"":15980362,""base"":6858.66,""quote"":7432377}",ETH
polygon,uniswap,WMATIC,0xA374094527e1673A86dE625aa59517c5dE346d32,"{""usd"":7037957,""base"":7028722,""quote"":1579534}",MATIC
osmosis,osmosis,ATOM,1,"{""usd"":52391914,""base"":2624807,""quote"":36906903}",ATOM
    ethereum,uniswap,WETH,0x88e6A0c2dDD26FEEb64F039a2c41296FcB3f5640,"{""usd"":201035441,""base"":97037,""quote"":80075812}",ETH
fantom,spookyswap,WFTM,0x2b4C76d0dc16BE1C31D4C1DC53bF9B45987Fc75c,"{""usd"":9341673.91909,""base"":21489981,""quote"":4670837}",FTM
polygon,uniswap,WETH,0x45dDa9cb7c25131DF268515131f647d726f50608,"{""usd"":9164990,""base"":3824.5,""quote"":4393613}",ETH
bsc,biswap,WBNB,0xaCAac9311b0096E04Dfe96b6D87dec867d3883Dc,"{""usd"":30605115.946569614,""base"":59789,""quote"":15302558}",BNB
bsc,apeswap,WBNB,0x51e6D27FA57373d8d4C256231241053a70Cb1d93,"{""usd"":1467012.496885862,""base"":2863.65,""quote"":733506}",BNB
optimism,uniswap,ETH,0x85149247691df622eaF1a8Bd0CaFd40BC45154a9,"{""usd"":6052277,""base"":2562.96,""quote"":2856714}",ETH
polygon,quickswap,WMATIC,0x6e7a5FAFcec6BB1e78bAE2A1F0B612012BF14827,"{""usd"":3373374.900842,""base"":2176298,""quote"":1686687}",MATIC
bsc,pancakeswap,ETH,0x74E4716E431f45807DCF19f284c7aA99F18a4fbc,"{""usd"":45388690.11482948,""base"":18183,""quote"":88609}",ETH
wanchain,wanswap,WWAN,0x0a886Dc4d584d55E9A1FA7eB0821762296b4ec0E,"{""usd"":257261,""base"":783360,""quote"":128630}",WAN
arbitrum,sushiswap,WETH,0x905dfCD5649217c42684f23958568e533C711Aa3,"{""usd"":22442812.61182,""base"":8981.39,""quote"":11221406}",ETH
optimism,velodrome,ETH,0x79c912FEF520be002c2B6e57EC4324e260f38E50,"{""usd"":1888699.477658,""base"":756.88,""quote"":944350}",ETH
optimism,uniswap,vETH,0x36B18618c4131D8564A714fb6b4D2B1EdADc0042,"{""usd"":12657900,""base"":4407.76,""quote"":7140674}",ETH
polygon,uniswap,WBTC,0xeEF1A9507B3D505f0062f2be9453981255b503c8,"{""usd"":701812,""base"":20.96,""quote"":350243}",BTC
heco,mdex,ETH,0x53E458aD1CFEB9582736db6BdE9aF89948e3bc3d,"{""usd"":106904.90554717075,""base"":42.83,""quote"":11821}",ETH
arbitrum,kyberswap,WETH,0x26333Db71B82e2DF33d1C11158470B73E3d27072,"{""usd"":431811.81057,""base"":130.79,""quote"":215906}",ETH
avalanche,traderjoe,WAVAX,0xB5352A39C11a81FE6748993D586EC448A01f08b5,"{""usd"":2162653,""base"":167527,""quote"":232515}",AVAX
fantom,equalizer,WFTM,0x7547d05dFf1DA6B4A2eBB3f0833aFE3C62ABD9a1,"{""usd"":3656799.6068,""base"":8432697,""quote"":1828400}",FTM
optimism,uniswap,vBTC,0xC64f9436f8Ca50CDCC096105C62DaD52FAEb1f2e,"{""usd"":3100843,""base"":84.55,""quote"":1676307}",BTC
polygon,quickswap,WETH,0x479e1B71A702a595e19b6d5932CD5c863ab57ee0,"{""usd"":4110875.6477007563,""base"":699.72,""quote"":2652089}",ETH
bsc,pancakeswap,BTCB,0x61EB789d75A95CAa3fF50ed7E47b96c132fEc082,"{""usd"":49690197.76681817,""base"":1479.81,""quote"":97020}",BTC
bsc,pancakeswap,DOGE,0xac109C8025F272414fd9e2faA805a583708A017f,"{""usd"":2254067.8507755147,""base"":15928105,""quote"":4400.98}",DOGE
ethereum,uniswap,IOTX,0x489cEbE6Cd5DC5dcB7047A1F0D4F358a5d2fB295,"{""usd"":587521,""base"":13254435,""quote"":213.9}",IOTX
ethereum,sushiswap,IQ,0x9D45081706102E7aadDD0973268457527722E274,"{""usd"":486296,""base"":56042005,""quote"":194.2}",IQ
ethereum,uniswap,RSR,0xA3a9a863Ed908aa95cB17e1781Aa97E6693bF604,"{""usd"":100873,""base"":28214143,""quote"":11.74}",RSR
ethereum,uniswap,BAT,0xB6909B960DbbE7392D405429eB2b3649752b4838,"{""usd"":100034,""base"":288348,""quote"":40.03}",BAT
ethereum,uniswap,sETH2,0xDADcF64BAbfb566785f1e9DFC4889C5e593DDdC7,"{""usd"":90848,""base"":56.25,""quote"":16.92}",ETH
ethereum,sushiswap,OCEAN,0xeE35E548C7457FcDd51aE95eD09108be660Ea374,"{""usd"":147479,""base"":398289,""quote"":59.02}",OCEAN
fantom,wigoswap,BTC,0xE3e5F47399864Ca63cDFBb22A207AFc398EFD660,"{""usd"":72210.5481071615,""base"":2.15,""quote"":28.91}",BTC
ethereum,0x5F1dddbf348aC2fbe22a163e30F99F9ECE3DD50a,wstETH,0xeBfE63Ba0264aD639B3C41d2bfE1aD708F683bc8,"{""usd"":14884993,""base"":7361,""quote"":3884}",ETH
polygon,quickswap,WBTC,0x4183DB4a5A1A3612B17459BA4e072aa59F302E89,"{""usd"":191362.48701789218,""base"":7.37,""quote"":95681}",BTC
